Model,Accuracy,F1 Score,Dataset
LightGBM,0.9754385964912281,0.9753105244731579,Breast Cancer
SVM,0.9754385964912281,0.9751846272555655,Breast Cancer
KNN,0.9736842105263157,0.9733559562623373,Breast Cancer
CatBoost,0.9719298245614036,0.972046067062369,Breast Cancer
XGBoost,0.9666666666666666,0.9667665735999711,Breast Cancer
Random Forest,0.9596491228070174,0.9612844046792877,Breast Cancer
Decision Tree,0.9333333333333332,0.9234613839366356,Breast Cancer
Random Forest,0.8319004524886877,0.8213922357965485,Heart Disease
KNN,0.816289592760181,0.820852034356651,Heart Disease
LightGBM,0.8200603318250377,0.8188966588966589,Heart Disease
SVM,0.820211161387632,0.8129303967449865,Heart Disease
XGBoost,0.8121417797888386,0.8110308411529277,Heart Disease
CatBoost,0.8045248868778281,0.8029229457669356,Heart Disease
Decision Tree,0.7576168929110105,0.7365319122580918,Heart Disease
Decision Tree,1.0,1.0,Online Retail
XGBoost,1.0,1.0,Online Retail
CatBoost,1.0,1.0,Online Retail
Random Forest,1.0,0.9997847147470399,Online Retail
SVM,0.9993536802642812,0.9993546072201582,Online Retail
LightGBM,0.9993536802642812,0.9993546072201582,Online Retail
KNN,0.9961225455625256,0.9961257739027968,Online Retail
CatBoost,0.9268439781119987,0.9276498822582754,Wine Quality
Random Forest,0.9103206871714381,0.9110152029949032,Wine Quality
LightGBM,0.9081649985486836,0.9097553135036656,Wine Quality
KNN,0.88553578659557,0.8943132516224678,Wine Quality
XGBoost,0.8674579028657228,0.8729380238880748,Wine Quality
SVM,0.852489706404068,0.8625373848196247,Wine Quality
Decision Tree,0.8509303117284283,0.8576059520286992,Wine Quality
