Model,Accuracy,F1 Score,Dataset
LightGBM,0.8833333333333333,0.8627450980392157,Heart Disease
Random Forest,0.8833333333333333,0.8571428571428571,Heart Disease
SVM,0.8833333333333333,0.851063829787234,Heart Disease
XGBoost,0.8333333333333334,0.8076923076923077,Heart Disease
CatBoost,0.8333333333333334,0.7916666666666666,Heart Disease
KNN,0.8333333333333334,0.782608695652174,Heart Disease
Decision Tree,0.7833333333333333,0.7450980392156863,Heart Disease
XGBoost,0.8892307692307693,0.6883116883116883,Wine Quality
Random Forest,0.89,0.6635294117647059,Wine Quality
LightGBM,0.8807692307692307,0.6436781609195402,Wine Quality
Decision Tree,0.8430769230769231,0.6091954022988506,Wine Quality
CatBoost,0.8746153846153846,0.6091127098321343,Wine Quality
KNN,0.8323076923076923,0.5112107623318386,Wine Quality
SVM,0.8369230769230769,0.39080459770114945,Wine Quality
