iter	Passed	Remaining
0	1	1509
1	2	1302
2	3	1202
3	4	1189
4	5	1158
5	6	1151
6	7	1088
7	8	1101
8	9	1082
9	10	1050
10	11	1073
11	13	1108
12	14	1123
13	16	1129
14	17	1135
15	19	1170
16	20	1182
17	21	1180
18	22	1172
19	23	1167
20	24	1156
21	25	1150
22	26	1140
23	27	1134
24	28	1128
25	30	1128
26	31	1123
27	32	1112
28	32	1094
29	33	1094
30	34	1093
31	36	1090
32	36	1075
33	37	1072
34	38	1072
35	39	1070
36	40	1065
37	41	1060
38	42	1056
39	43	1052
40	44	1051
41	45	1044
42	46	1043
43	47	1038
44	48	1037
45	49	1034
46	50	1028
47	52	1031
48	52	1026
49	53	1019
50	54	1015
51	55	1012
52	56	1007
53	57	1003
54	58	1001
55	59	998
56	60	996
57	61	994
58	62	994
59	63	995
60	64	995
61	65	993
62	66	987
63	67	982
64	68	980
65	69	979
66	70	978
67	71	979
68	72	979
69	73	977
70	74	976
71	75	975
72	76	975
73	77	973
74	78	972
75	79	970
76	80	968
77	81	966
78	82	965
79	83	964
80	84	964
81	85	962
82	86	961
83	87	959
84	88	957
85	89	956
86	91	955
87	92	953
88	92	951
89	94	951
90	95	950
91	96	948
92	97	947
93	98	945
94	99	944
95	100	943
96	101	941
97	102	939
98	103	940
99	104	940
100	105	938
101	106	936
102	107	935
103	108	935
104	109	935
105	110	935
106	111	933
107	112	932
108	113	929
109	114	927
110	115	925
111	116	924
112	117	925
113	118	923
114	119	922
115	120	920
116	121	920
117	123	920
118	124	919
119	125	917
120	126	916
121	126	913
122	128	912
123	129	912
124	130	911
125	131	910
126	132	910
127	133	908
128	134	908
129	135	907
130	136	907
131	138	907
132	139	907
133	140	905
134	141	904
135	142	905
136	143	904
137	144	902
138	145	901
139	146	900
140	147	899
141	148	899
142	150	898
143	150	896
144	151	894
145	152	893
146	153	891
147	154	891
148	156	892
149	157	891
150	158	889
151	159	888
152	160	887
153	161	886
154	162	884
155	163	883
156	164	881
157	164	878
158	165	877
159	166	875
160	167	875
161	169	874
162	170	874
163	171	874
164	172	872
165	173	871
166	174	871
167	175	870
168	176	870
169	178	869
170	178	867
171	179	866
172	180	865
173	182	864
174	183	863
175	184	862
176	185	860
177	186	859
178	187	858
179	188	857
180	189	856
181	190	855
182	191	853
183	192	852
184	193	850
185	194	849
186	195	848
187	196	847
188	197	845
189	198	844
190	199	844
191	200	842
192	201	841
193	202	840
194	203	840
195	204	839
196	205	838
197	206	837
198	207	837
199	208	835
200	209	834
201	210	833
202	212	832
203	212	830
204	213	829
