model_type,dataset_name,segment_name,window_size,horizon,train_time,train_loss,train_mae,val_loss,val_mae,test_loss,test_mae,test_rmse,test_mape,model_path,epochs_trained
TCN,國道1號_北向_五甲系統交流道_瑞隆路交流道,國道1號_北向_五甲系統交流道_瑞隆路交流道,24,24,164.15340876579285,0.25903359055519104,0.26048794388771057,0.2585723102092743,0.2603289484977722,0.2388458251953125,0.2807846963405609,19.07207117785476,14.582508566962746,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\TCN_國道1號_北向_五甲系統交流道_瑞隆路交流道.h5,20
Transformer,國道1號_北向_五甲系統交流道_瑞隆路交流道,國道1號_北向_五甲系統交流道_瑞隆路交流道,24,24,225.99248719215393,0.27787554264068604,0.28007540106773376,0.26178914308547974,0.27137699723243713,0.2418963611125946,0.2954055964946747,19.33914199338451,14.734565237670951,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\Transformer_國道1號_北向_五甲系統交流道_瑞隆路交流道.h5,20
LSTM,國道1號_北向_五甲系統交流道_瑞隆路交流道,國道1號_北向_五甲系統交流道_瑞隆路交流道,24,24,313.2082486152649,0.24137970805168152,0.2319299578666687,0.23146867752075195,0.2217387557029724,0.21713173389434814,0.25176137685775757,16.95403678707926,11.987667957260177,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\LSTM_國道1號_北向_五甲系統交流道_瑞隆路交流道.h5,13
TCN,國道1號_北向_五甲系統交流道_瑞隆路交流道_enhanced,國道1號_北向_五甲系統交流道_瑞隆路交流道,24,24,201.19274139404297,0.22554585337638855,0.24202869832515717,0.24410724639892578,0.25082504749298096,0.2532385587692261,0.29135921597480774,20.68630258322686,15.078742298653944,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\TCN_國道1號_北向_五甲系統交流道_瑞隆路交流道_enhanced.h5,17
Transformer,國道1號_北向_五甲系統交流道_瑞隆路交流道_enhanced,國道1號_北向_五甲系統交流道_瑞隆路交流道,24,24,187.3675093650818,0.2200717329978943,0.24170388281345367,0.2390504628419876,0.24417297542095184,0.2272435426712036,0.28201866149902344,18.13245558299125,14.74710999108186,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\Transformer_國道1號_北向_五甲系統交流道_瑞隆路交流道_enhanced.h5,13
LSTM,國道1號_北向_五甲系統交流道_瑞隆路交流道_enhanced,國道1號_北向_五甲系統交流道_瑞隆路交流道,24,24,355.1125226020813,0.19659559428691864,0.2076348215341568,0.22818966209888458,0.22437594830989838,0.22072000801563263,0.26905593276023865,17.844407407367566,12.597782876575081,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\LSTM_國道1號_北向_五甲系統交流道_瑞隆路交流道_enhanced.h5,11
TCN,國道3號_北向_中投交流道_烏日交流道,國道3號_北向_中投交流道_烏日交流道,24,24,190.75950384140015,0.1747254878282547,0.2506745755672455,0.2980159819126129,0.3159443140029907,2.2514305114746094,0.9082399010658264,60.65857642729248,33.80607236665421,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\TCN_國道3號_北向_中投交流道_烏日交流道.h5,17
Transformer,國道3號_北向_中投交流道_烏日交流道,國道3號_北向_中投交流道_烏日交流道,24,24,267.2502746582031,0.1963459551334381,0.2835107147693634,0.2936316132545471,0.33367815613746643,1.261350154876709,0.7080413103103638,54.49480012276932,40.808077062400564,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\Transformer_國道3號_北向_中投交流道_烏日交流道.h5,20
LSTM,國道3號_北向_中投交流道_烏日交流道,國道3號_北向_中投交流道_烏日交流道,24,24,360.22411346435547,0.14778374135494232,0.21962834894657135,0.2469087839126587,0.275435209274292,1.8194607496261597,0.7662060856819153,44.407619697876015,36.50538608021018,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\LSTM_國道3號_北向_中投交流道_烏日交流道.h5,13
Transformer,國道3號_北向_中投交流道_烏日交流道_enhanced,國道3號_北向_中投交流道_烏日交流道,24,24,121.2491614818573,0.14762310683727264,0.2434321939945221,0.2956870198249817,0.3186154365539551,1.0093212127685547,0.5863710045814514,49.555466469461415,45.54643530252822,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\Transformer_國道3號_北向_中投交流道_烏日交流道_enhanced.h5,9
LSTM,國道3號_北向_中投交流道_烏日交流道_enhanced,國道3號_北向_中投交流道_烏日交流道,24,24,269.1665599346161,0.12170106172561646,0.2036791443824768,0.2859872281551361,0.29757484793663025,2.6242740154266357,0.9809889793395996,59.43788169716907,42.71689708887053,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\LSTM_國道3號_北向_中投交流道_烏日交流道_enhanced.h5,8
TCN,國道3號_北向_中投交流道_烏日交流道_enhanced,國道3號_北向_中投交流道_烏日交流道,24,24,220.57944750785828,0.1307002753019333,0.21700775623321533,0.32188132405281067,0.32243603467941284,1.6304426193237305,0.783560574054718,51.275680862013594,42.09903141292478,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\TCN_國道3號_北向_中投交流道_烏日交流道_enhanced.h5,20
TCN,國道5號_北向_彭山隧道前_彭山隧道後,國道5號_北向_彭山隧道前_彭山隧道後,24,24,111.34881019592285,0.23153722286224365,0.28740912675857544,0.19761261343955994,0.2848130762577057,0.2192763090133667,0.2856996953487396,21.54581023642149,17.617019264589448,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\TCN_國道5號_北向_彭山隧道前_彭山隧道後.h5,15
Transformer,國道5號_北向_彭山隧道前_彭山隧道後,國道5號_北向_彭山隧道前_彭山隧道後,24,24,235.93752908706665,0.23484762012958527,0.2969319224357605,0.20773109793663025,0.30083775520324707,0.20999592542648315,0.2832595109939575,20.517417095112418,16.674894453273275,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\Transformer_國道5號_北向_彭山隧道前_彭山隧道後.h5,20
LSTM,國道5號_北向_彭山隧道前_彭山隧道後,國道5號_北向_彭山隧道前_彭山隧道後,24,24,320.2582459449768,0.18173383176326752,0.23614291846752167,0.15824005007743835,0.2404990792274475,0.17456644773483276,0.2328285574913025,17.99445906388982,13.842896744241726,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\LSTM_國道5號_北向_彭山隧道前_彭山隧道後.h5,15
LSTM,國道5號_北向_彭山隧道前_彭山隧道後_enhanced,國道5號_北向_彭山隧道前_彭山隧道後,24,24,141.52242302894592,0.19236987829208374,0.2584294080734253,0.15483728051185608,0.2568359971046448,0.19583731889724731,0.2714344561100006,19.61457852559557,18.767113927300663,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\LSTM_國道5號_北向_彭山隧道前_彭山隧道後_enhanced.h5,6
TCN,國道5號_北向_彭山隧道前_彭山隧道後_enhanced,國道5號_北向_彭山隧道前_彭山隧道後,24,24,81.60087370872498,0.16964952647686005,0.2511321008205414,0.1708216667175293,0.2747058570384979,0.20459555089473724,0.26958462595939636,20.19364808973065,19.119305257597873,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\TCN_國道5號_北向_彭山隧道前_彭山隧道後_enhanced.h5,20
Transformer,國道5號_北向_彭山隧道前_彭山隧道後_enhanced,國道5號_北向_彭山隧道前_彭山隧道後,24,24,87.17702198028564,0.16817860305309296,0.2471194863319397,0.15578000247478485,0.25787824392318726,0.20279735326766968,0.2679637670516968,19.93139924714048,17.666336772886453,C:\Users\user\Desktop\ML\SmartTrafficPredictor\1014\models\Transformer_國道5號_北向_彭山隧道前_彭山隧道後_enhanced.h5,13
