Speed,Flow,dataTime,VD1,VD2,VD3,補值
110,80,2021-04-01 00:05:00,5,0,0,0
108,75,2021-04-01 00:10:00,3,2,0,0
109,70,2021-04-01 00:15:00,5,0,0,0
113,75,2021-04-01 00:20:00,5,0,0,0
111,80,2021-04-01 00:25:00,5,0,0,0
110,75,2021-04-01 00:30:00,5,0,0,0
110,75,2021-04-01 00:35:00,5,0,0,0
109,70,2021-04-01 00:40:00,5,0,0,0
108,70,2021-04-01 00:45:00,5,0,0,0
107,65,2021-04-01 00:50:00,5,0,0,0
108,60,2021-04-01 00:55:00,5,0,0,0
107,70,2021-04-01 01:00:00,5,0,0,0
109,75,2021-04-01 01:05:00,5,0,0,0
108,65,2021-04-01 01:10:00,5,0,0,0
108,60,2021-04-01 01:15:00,5,0,0,0
108,60,2021-04-01 01:20:00,5,0,0,0
107,55,2021-04-01 01:25:00,5,0,0,0
109,45,2021-04-01 01:30:00,5,0,0,0
110,55,2021-04-01 01:35:00,5,0,0,0
110,50,2021-04-01 01:40:00,5,0,0,0
113,45,2021-04-01 01:45:00,5,0,0,0
114,50,2021-04-01 01:50:00,5,0,0,0
107,65,2021-04-01 01:55:00,5,0,0,0
109,35,2021-04-01 02:00:00,5,0,0,0
104,40,2021-04-01 02:05:00,5,0,0,0
110,45,2021-04-01 02:10:00,5,0,0,0
105,50,2021-04-01 02:15:00,5,0,0,0
106,45,2021-04-01 02:20:00,5,0,0,0
113,45,2021-04-01 02:25:00,5,0,0,0
114,40,2021-04-01 02:30:00,5,0,0,0
107,50,2021-04-01 02:35:00,5,0,0,0
104,45,2021-04-01 02:40:00,5,0,0,0
109,45,2021-04-01 02:45:00,5,0,0,0
108,45,2021-04-01 02:50:00,5,0,0,0
104,40,2021-04-01 02:55:00,5,0,0,0
109,45,2021-04-01 03:00:00,5,0,0,0
106,35,2021-04-01 03:05:00,5,0,0,0
110,45,2021-04-01 03:10:00,5,0,0,0
105,40,2021-04-01 03:15:00,5,0,0,0
105,30,2021-04-01 03:20:00,5,0,0,0
106,45,2021-04-01 03:25:00,5,0,0,0
114,45,2021-04-01 03:30:00,5,0,0,0
107,40,2021-04-01 03:35:00,5,0,0,0
115,40,2021-04-01 03:40:00,5,0,0,0
110,50,2021-04-01 03:45:00,5,0,0,0
114,35,2021-04-01 03:50:00,5,0,0,0
112,40,2021-04-01 03:55:00,5,0,0,0
107,50,2021-04-01 04:00:00,5,0,0,0
102,30,2021-04-01 04:05:00,5,0,0,0
109,40,2021-04-01 04:10:00,5,0,0,0
110,45,2021-04-01 04:15:00,5,0,0,0
102,50,2021-04-01 04:20:00,5,0,0,0
109,45,2021-04-01 04:25:00,5,0,0,0
113,50,2021-04-01 04:30:00,5,0,0,0
106,45,2021-04-01 04:35:00,5,0,0,0
105,55,2021-04-01 04:40:00,5,0,0,0
107,45,2021-04-01 04:45:00,5,0,0,0
106,45,2021-04-01 04:50:00,5,0,0,0
112,50,2021-04-01 04:55:00,5,0,0,0
109,55,2021-04-01 05:00:00,5,0,0,0
105,50,2021-04-01 05:05:00,5,0,0,0
110,60,2021-04-01 05:10:00,5,0,0,0
108,50,2021-04-01 05:15:00,5,0,0,0
110,55,2021-04-01 05:20:00,5,0,0,0
107,70,2021-04-01 05:25:00,5,0,0,0
109,85,2021-04-01 05:30:00,5,0,0,0
105,55,2021-04-01 05:35:00,5,0,0,0
107,70,2021-04-01 05:40:00,5,0,0,0
112,90,2021-04-01 05:45:00,5,0,0,0
110,105,2021-04-01 05:50:00,5,0,0,0
106,95,2021-04-01 05:55:00,5,0,0,0
