Speed,Flow,dataTime,VD1,VD2,VD3,補值
106,60,2021-04-01 00:05:00,4,1,0,0
105,30,2021-04-01 00:10:00,5,0,0,0
103,45,2021-04-01 00:15:00,4,1,0,0
103,50,2021-04-01 00:20:00,5,0,0,0
99,60,2021-04-01 00:25:00,5,0,0,0
108,40,2021-04-01 00:30:00,5,0,0,0
103,50,2021-04-01 00:35:00,5,0,0,0
108,45,2021-04-01 00:40:00,4,1,0,0
96,50,2021-04-01 00:45:00,4,1,0,0
103,50,2021-04-01 00:50:00,5,0,0,0
99,45,2021-04-01 00:55:00,5,0,0,0
105,55,2021-04-01 01:00:00,5,0,0,0
104,40,2021-04-01 01:05:00,5,0,0,0
106,25,2021-04-01 01:10:00,5,0,0,0
100,35,2021-04-01 01:15:00,5,0,0,0
103,25,2021-04-01 01:20:00,5,0,0,0
110,35,2021-04-01 01:25:00,3,2,0,0
104,20,2021-04-01 01:30:00,5,0,0,0
100,15,2021-04-01 01:35:00,5,0,0,0
100,40,2021-04-01 01:40:00,5,0,0,0
108,20,2021-04-01 01:45:00,5,0,0,0
101,35,2021-04-01 01:50:00,4,1,0,0
103,25,2021-04-01 01:55:00,4,1,0,0
104,35,2021-04-01 02:00:00,4,1,0,0
98,35,2021-04-01 02:05:00,5,0,0,0
95,20,2021-04-01 02:10:00,5,0,0,0
103,35,2021-04-01 02:15:00,5,0,0,0
104,25,2021-04-01 02:20:00,4,1,0,0
101,55,2021-04-01 02:25:00,5,0,0,0
100,25,2021-04-01 02:30:00,5,0,0,0
98,30,2021-04-01 02:35:00,5,0,0,0
105,30,2021-04-01 02:40:00,5,0,0,0
98,20,2021-04-01 02:45:00,5,0,0,0
100,20,2021-04-01 02:50:00,4,1,0,0
105,25,2021-04-01 02:55:00,4,1,0,0
94,25,2021-04-01 03:00:00,5,0,0,0
103,15,2021-04-01 03:05:00,5,0,0,0
97,25,2021-04-01 03:10:00,5,0,0,0
98,20,2021-04-01 03:15:00,5,0,0,0
89,30,2021-04-01 03:20:00,5,0,0,0
97,30,2021-04-01 03:25:00,5,0,0,0
98,15,2021-04-01 03:30:00,4,1,0,0
100,15,2021-04-01 03:35:00,5,0,0,0
108,25,2021-04-01 03:40:00,4,1,0,0
101,30,2021-04-01 03:45:00,4,1,0,0
103,30,2021-04-01 03:50:00,5,0,0,0
100,35,2021-04-01 03:55:00,5,0,0,0
103,25,2021-04-01 04:00:00,4,1,0,0
105,20,2021-04-01 04:05:00,5,0,0,0
93,20,2021-04-01 04:10:00,5,0,0,0
102,30,2021-04-01 04:15:00,3,2,0,0
95,20,2021-04-01 04:20:00,5,0,0,0
100,35,2021-04-01 04:25:00,5,0,0,0
103,25,2021-04-01 04:30:00,4,1,0,0
103,40,2021-04-01 04:35:00,5,0,0,0
97,45,2021-04-01 04:40:00,4,1,0,0
100,35,2021-04-01 04:45:00,4,1,0,0
99,45,2021-04-01 04:50:00,5,0,0,0
102,25,2021-04-01 04:55:00,4,1,0,0
96,40,2021-04-01 05:00:00,5,0,0,0
93,40,2021-04-01 05:05:00,5,0,0,0
102,45,2021-04-01 05:10:00,5,0,0,0
95,35,2021-04-01 05:15:00,5,0,0,0
91,45,2021-04-01 05:20:00,5,0,0,0
